,ALL: Insurance cases re: accidents,ALL: DUSTs,ALL: Arrest records/police incidents,ALL: Parking infractions,ALL: Code violation/environmental assessments,ALL: Construction permits,ALL: Police officer recordings (audio/video),SEA: Police complaint,SEA: Fire incident/environmental assessment,SEA: Police incident/arrest record,SEA: Police officer recordings (audio/video),SEA: DUSTs,SEA: Building Permit/Code violation,POR: Project Permits,POR: Building Permits,POR: Stolen Vehicles,POR: Environmental Dev/Property Records,POR: Street Maintenance,OLY: Police officer video,OLY: Building Permits,OLY: Fire code violations,OLY: Car accident records,OLY: Insurance records
2012-03,2.0,1.0,2.0,1.0,4.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0
2013-05,1.0,0.0,0.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0
2014-03,1.0,0.0,4.0,1.0,2.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,1.0
2014-05,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
2014-09,5.0,0.0,6.0,3.0,7.0,18,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,8.0,8.0,1.0
2015-05,18.0,2.0,30.0,11.0,15.0,31,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,21.0,30.0,16.0
2015-06,2.0,0.0,8.0,2.0,9.0,10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,3.0,0.0
2015-07,21.0,13.0,41.0,10.0,29.0,42,35.0,2.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,42.0,10.0,13.0
2015-08,65.0,11.0,115.0,14.0,63.0,73,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,117.0,98.0,82.0,32.0
2015-09,73.0,13.0,147.0,23.0,65.0,92,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,144.0,119.0,103.0,34.0
