dept,word,count
SPD,record,20961
SPD,police,16968
SPD,incident,13198
SPD,officer,13092
SPD,include,8813
SPD,seattle,8808
SPD,public,8294
SPD,relate,8070
SPD,would,7009
SPD,email,6871
SPD,video,6620
SPD,information,6534
SPD,name,5625
SPD,regard,4936
SPD,provide,4859
SPD,call,4576
SPD,case,4349
SPD,number,4213
SPD,datum,4210
SPD,follow,3942
SPD,send,3843
SPD,department,3751
SPD,involve,3465
SPD,make,3383
SPD,unit,3341
SPD,investigation,3193
SPD,date,3152
SPD,vehicle,3139
SPD,limit,3114
SPD,which,3074
SPD,list,3000
SPD,employee,2896
SPD,response,2783
SPD,audio,2774
SPD,need,2734
SPD,between,2699
SPD,above,2678
SPD,arrest,2632
SPD,time,2630
SPD,address,2607
SPD,each,2574
SPD,statement,2514
SPD,description,2498
SPD,note,2419
SPD,agency,2418
SPD,year,2393
SPD,receive,2388
SPD,photo,2366
SPD,office,2314
SPD,release,2299
SPD,pertain,2286
SPD,what,2285
SPD,use,2270
SPD,january,2255
SPD,also,2248
SPD,accident,2191
SPD,witness,2114
SPD,do,2027
SPD,communication,2006
SPD,format,2002
SPD,available,1931
SPD,recording,1884
SPD,about,1818
SPD,property,1801
SPD,contact,1711
SPD,photograph,1701
SPD,complaint,1695
SPD,where,1684
SPD,access,1683
SPD,complete,1635
SPD,storage,1631
SPD,know,1628
SPD,when,1626
SPD,correspondence,1614
SPD,event,1600
SPD,form,1592
SPD,work,1590
SPD,underground,1580
SPD,because,1579
SPD,since,1569
SPD,decommission,1562
SPD,tanks,1562
SPD,disclosure,1560
SPD,electronic,1540
SPD,take,1533
SPD,service,1532
SPD,party,1517
SPD,person,1510
SPD,requester,1490
SPD,mail,1481
SPD,require,1473
SPD,present,1472
SPD,contain,1455
SPD,those,1451
SPD,only,1446
SPD,meeting,1434
SPD,search,1425
SPD,collision,1413
SPD,write,1413
SPD,matter,1408
SPD,client,1403
SPD,title,1386
SPD,full,1386
SPD,location,1377
SPD,west,1370
SPD,phone,1369
SPD,concern,1367
SPD,charge,1338
SPD,attach,1327
SPD,reference,1322
SPD,review,1308
SPD,want,1288
SPD,under,1280
SPD,council,1279
SPD,washington,1276
SPD,material,1276
SPD,subject,1276
SPD,yesterday,1264
SPD,attorney,1260
SPD,forward,1259
SPD,state,1257
SPD,obtain,1248
SPD,well,1230
SPD,redaction,1221
SPD,through,1216
SPD,order,1204
SPD,issue,1192
SPD,listing,1186
SPD,court,1175
SPD,personal,1156
SPD,whether,1146
SPD,previous,1146
SPD,citation,1144
SPD,badge,1140
SPD,policy,1133
SPD,street,1133
SPD,create,1129
SPD,park,1128
SPD,traffic,1120
SPD,current,1114
SPD,mayor,1106
SPD,records,1099
SPD,data,1096
SPD,give,1096
SPD,text,1094
SPD,last,1094
SPD,project,1089
